String,log CMC (uM),T_C
CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.8750612633917,29.85
CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.83884909073726,34.85
CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.79239168949825,39.85
CCCCCCCCCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],2.45178643552429,25
CCCCCCCCCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],2.50379068305718,30
CCCCCCCCCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],2.50105926221775,35
CCCCCCCCCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],2.48572142648158,40
CCCCCCCCCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],2.45788189673399,45
CCCCCCCCCC[N+](C)(C)CC(=O)[O-],4.32221929473392,20
CCCCCCCCCC[N+](C)(C)CC(=O)[O-],4.25527250510331,23
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.68304703823885,10
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.68124123737559,15
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.68574173860226,20
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.69284691927723,25
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.70842090013471,30
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.72591163229505,35
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.90308998699194,23
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,2.08278537031645,10
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.91381385238372,25
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.86332286012046,40
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.32428245529769,10
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.33845649360461,15
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.35218251811136,20
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.37657695705651,25
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.38381536598043,30
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.39794000867204,35
CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[K+],3.41664050733828,40
CCCCCCCCCC[N+](C)(C)C.[Cl-],5.03100428136354,5
CCCCCCCCCC[N+](C)(C)C.[Cl-],5.02118929906994,10
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.98989456371877,15
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.98136550907854,20
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.97634997900327,25
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.95616843047536,30
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.93851972517649,35
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.93651374247889,40
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.94939000664491,45
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],3.32221929473392,25
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],3.54406804435028,50
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],3.50514997831991,60
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],3.47712125471966,40
CCCCCCCCCCCCOCCO,1.362,25
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],2.85733249643127,40
CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],3.8750612633917,25
CCCCCCCO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,4.51188336097887,25
CCCCCCCCCC(=O)NC(CO)C(=O)O,3.84198480459011,25
C(C(=O)OCCCCCCC)C(C(=O)OCCCCCCC)CS(=O)(=O)[O-].[Na+],2.60205999132796,20
CCCCCCCCCCCCCC[N+](C)(C)[O-],2.43136376415899,27
CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],3.78958071216443,25
CCCCCCCOCCOCCOCCOCCO,4.60205999132796,25
CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],2.25527250510331,33
CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],3.66275783168157,25
CCCCCCCCC(CCO)O,3.35983548233989,25
CCCCCCCCCCCCCCNC(=O)COS(=O)(=O)[O-].[Na+],3.11394335230684,50
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.07918124604763,40
C(CCCNC(=O)OCCOCCC)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3.9912260756925,25
CCCCCCCCCCCC(=O)O[C@@]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)[C@@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO,2.11394335230684,20
CCCCCCCCOCC(CO)O,3.76342799356294,25
CC(C)CCCC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.60205999132796,25
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],3.27875360095283,25
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],2.41497334797082,40
CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-],3.83250891270624,25
CCCCCCCCCC(=O)NC(C)C(=O)O,3.81424759573192,25
CCCCCCCO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,4.24303804868629,25
CCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.93951925261862,25
C(CSCCOCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.44715803134222,25
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],2.90308998699194,40
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[NH4+],3.55630250076729,25
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],3.39794000867204,25
CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],3.72427586960079,25
CCCCCCCCCC(=O)NCC(=O)[O-].[Na+],4.57978359661681,40
CCCCCCCCCCCCOC(=O)CC(O)C[N+](C)(C)C.[Br-],3.47421626407626,25
CCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],3.76342799356294,25
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],2.65321251377534,40
CCCCC(CCCCCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],2.88081359228079,30
CCCCC(CCC)COC(=O)CC(C(=O)OCC(CCC)CCCC)S(=O)(=O)[O-].[Na+],3.50242711998443,25
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],3.37106786227174,40
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.69019608002851,25
CCCCCCCCCCCCOC(=O)C[N+](C)(C)C.[Br-],3.63848925695464,25
CCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],4.20411998265593,25
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2,23
CCCCCCCCCC=CC(=O)OCC(COCC(COCC(COCC(COCC(COCC(CO)O)O)O)O)O)O,1.554,25
CCCCCC(=O)[O-].[K+],6.19033169817029,25
CCC(C)C(C)C(C)C(C)CCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],2.1430148002541,25
CCCCCCCCC(C(CCCCCCCC(=O)[O-])O)O.[Na+],3.8750612633917,60
CCCCCCCC/C=C\CCCCCCCC(=O)NCCOC[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,1.95424250943933,25
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.[Br-],3.05690485133647,25
CCCCCCCCCCCC(=O)NC(CO)C(=O)O,3.20951501454263,25
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],3.20411998265593,25
CCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],3.72427586960079,25
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],2.69019608002851,40
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],3.17609125905568,25
CCCCCCCO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,4.48572142648158,25
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],3.94448267215017,25
CCCCCCCCOCCO,3.69019608002851,25
CCCCCCCCCCCCCC(=O)O[C@@]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)[C@@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO,1.41161970596323,20
CCCCCCCCCCOC(=O)CC(O)C[N+](C)(C)C.[Br-],4.10720996964787,25
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],3.47712125471966,40
CCCCCCCOCCOCCOCCO,4.30102999566398,25
CCCCCCCCCCCC(=O)N(CCCC)CC(=O)[O-].[Na+],3.35024801833416,25
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.51851393987789,25
CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],3.49136169383427,25
CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.36921585741014,25
CCCCCCCCCC[N+](C)(C)[O-],4.17609125905568,27
C(CCO)CO,5.76342799356294,22
[Li+].CCCCCCCCCCCCCCCCOS(=O)(=O)[O-],2.46239799789896,50
