smiles,pCMC,T,category
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],3.347,40,anionic
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],3.143,40,anionic
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],3.027,40,anionic
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],3.481,40,anionic
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],3.097,40,anionic
CCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],3.046,40,anionic
CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],2.959,40,anionic
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],2.824,40,anionic
CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],2.699,40,anionic
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],2.638,40,anionic
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],2.523,40,anionic
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],2.396,40,anionic
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],2.553,40,anionic
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],1.606,40,anionic
CCCCCCCCCC(OC)CCS(=O)(=O)[O-].[Na+],2.118,40,anionic
CCCCCCCCCC(OCC)CCS(=O)(=O)[O-].[Na+],2.301,40,anionic
CCCCCCCCCC(OCCC)CCS(=O)(=O)[O-].[Na+],2.42,40,anionic
CCCCCCCCCC(OC(C)C)CCS(=O)(=O)[O-].[Na+],2.458,40,anionic
CCCCCCCCCC(OCCCC)CCS(=O)(=O)[O-].[Na+],2.817,40,anionic
CCCCCCCCCC(OCCCCCC)CCS(=O)(=O)[O-].[Na+],3.185,40,anionic
CCCCCCCCCC(OCCCCCCCC)CCS(=O)(=O)[O-].[Na+],3.922,40,anionic
CCCCCCCCCC(OCC(CC)CCCC)CCS(=O)(=O)[O-].[Na+],3.501,40,anionic
CCCCCCCCCC(OC1=CC=C(C=C1))CCS(=O)(=O)[O-].[Na+],2.708,40,anionic
CCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],1.541,40,anionic
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],2.199,40,anionic
