smiles,temp,pCMC
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],40.0,1.144
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],40.0,1.621
CCCCCCCCCCCCCCCCC(C(=O)OC(C)C)S(=O)(=O)[O-].[Na+],40.0,4.569
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],40.0,2.566
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],40.0,0.663
CCCCCOC(=O)CC(C(=O)CCCCC)S(=O)(=O)[O-].[Na+],40.0,1.239
CCCCCCOC(CC(S(=O)([O-])=O)C(OCCCCCC)=O)=O.[Na+],40.0,1.817
CCCCCCCCOC(CC(S(=O)([O-])=O)C(OCCCCCCCC)=O)=O.[Na+],40.0,3.131
O=C(NC(C(C)C)C([O-])=O)CCCCCCCCCCCCCCC.[Na+],25.0,2.7212
O=C(NC(CC(C)C)C([O-])=O)CCCCCCCCCCCCCCC.[Na+],25.0,2.8239
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],25.0,1.9586
CCCCCCCCCCCCS(=O)([O-])=O.[NH4+],25.0,2.0506
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],25.0,2.0315
CCCCCCCCCCCCS(=O)(O[O-])=O.[Li+],25.0,2.0506
CCCCCCCCCCCCS(=O)(O[O-])=O.C[N+](C)(C)C,25.0,2.2596
CCCCCCCCCCCCS(=O)(O[O-])=O.CCC[N+](CCC)(CCC)CCC,25.0,2.6576
CCCCCCCCCOCCS(=O)([O-])=O.[Na+],25.0,1.7986
CCCCCCCCCCCCOCCS(=O)(O[O-])=O.[Na+],25.0,2.4089
CCCCCCCCCCCCOCCOCCS(=O)(O[O-])=O.[Na+],25.0,2.5376
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCS(=O)(O[O-])=O.[Na+],25.0,4.6021
CCCCCCCCC(COCCOCCOCCOCCOCCS(=O)(O[O-])=O)CCCCCC.[Na+],25.0,4.0655
CCCCCCCCCCOC(CS(=O)([O-])=O)=O.[Na+],25.0,1.6576
CCCCOC(CC(S(=O)([O-])=O)C(OCCCC)=O)=O.[Na+],25.0,0.699
CCCCCOC(C(S(=O)([O-])=O)CC(OCCCCC)=O)=O.[Na+],25.0,1.2757
CCCCCCOC(CC(C(OCCCCCC)=O)S(=O)([O-])=O)=O.[Na+],25.0,1.8539
CCCCC(COC(CC(S(=O)([O-])=O)C(OCC(CCCC)CC)=O)=O)CC.[Na+],25.0,2.6021
CCCCCCCCOC(CC(C(OCCCCCCCC)=O)S(=O)([O-])=O)=O.[Na+],25.0,3.041
CCCCCCCCCCCCC(S(=O)([O-])=O)C(OCC)=O.[Na+],25.0,2.6478
CCCCCCCCCCCCC(S(=O)([O-])=O)C(OCCCC)=O.[Na+],25.0,2.8697
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[K+],25.0,1.5376
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],25.0,1.5229
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Li+],25.0,1.4815
FC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],25.0,1.5229
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Li+],25.0,2.3098
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)([O-])=O.[Li+],25.0,2.2007
CCCCCCCCCCCC([O-])=O.[Na+],25.0,2.5243
CCCCCCCCCCCCOCCOCCOCCOCCOCCC([O-])=O.[Na+],25.0,2.4572
